WInfoID,daily,season,pm25,rainPrec,cloudCover,WindSpeed,relHumid,visibility,mean,routeID,locID,stationID
33,10/28/2018 20:30,Summer,28.5,43.76,93.4,16.1,89.89,2.5,,,divBar,IQAmym10
34,10/21/2019 13:31,Autumn,23.6,28.9,58.1,23,75.16,2.6,9.3,,divSyl,IQAkhu16
35,10/28/2018 22:16,Winter,122.1,18.26,68.3,15.9,7.84,2.5,9.7,,divDha,Pursyl20
36,10/21/2019 12:49,Winter,59.7,,,5.8,65.63,2,4.5,,divKhu,EPAchi20
37,4/18/2020 8:34,Winter,199.3,,31.3,5.8,62.33,2.6,8.5,,divDha,IQAmym1
38,4/21/2020 20:31,Spring,88.8,,2.5,5.8,65.68,2.4,4.6,,divRaj,Pursyl19
39,4/21/2020 20:37,Autumn,14.7,22.96,53.2,13.1,74.5,2.6,8.2,,divDha,EPAdha14
40,4/21/2020 20:35,Winter,169,0.4,68,11.4,72.9,2.7,13.9,,divChi,IQAmym20
41,4/18/2020 8:31,Autumn,44.7,,6.3,8.1,68.98,1.9,3.4,,divRan,EPAbar5
42,10/28/2018 21:23,Summer,37.6,,4.2,11.4,6.73,2.2,6,,divMym,IQAraj11
43,4/18/2020 9:33,Winter,147.2,34.33,7.2,11.4,75,2.4,3.9,,divDha,EPAbar3
44,4/18/2020 10:44,Winter,167.6,5.76,74.3,9.2,74.76,2.6,1,,divBar,IQAmym2
45,10/28/2018 21:52,Autumn,107.4,1.2,41.7,11.4,64.37,2.5,1.5,,divBar,IQAdha13
46,4/18/2020 10:17,Spring,40.2,5.8,75,9.2,8.8,2.5,14.2,,divDha,IQAdha19
47,10/21/2019 14:28,Spring,104.8,0.1,67.4,5.8,82.74,0.9,2.4,,divBar,EPAbar14
48,10/21/2019 13:01,Autumn,51.5,,23.4,7,64.63,2.1,5.2,,divBar,Purraj7
49,10/28/2018 21:01,Spring,130.7,21.65,76.1,9.2,8.77,2.5,9.9,,divSyl,EPAchi22
50,4/21/2020 22:30,Autumn,65.9,8.6,75.4,13.9,8.32,2.3,11.6,,divRaj,Purran3
51,4/18/2020 9:21,Summer,28.3,35.62,77.1,11.4,85.22,2.6,6.9,,divKhu,Purran21
52,10/28/2018 21:29,Summer,23.6,44.59,91,23,85.71,2.4,14.7,,divRan,IQAraj16
53,10/21/2019 14:15,Autumn,104.7,32.2,74.6,16.1,74.95,2.6,5.2,,divMym,EPAbar14
54,10/21/2019 15:07,Autumn,20.3,,21.1,8.1,59.28,2,11.9,,divRan,Purraj19
55,4/21/2020 21:18,Autumn,164.1,114.61,86,11.4,89.72,2.2,1.6,,divKhu,EPAchi21
56,10/28/2018 20:48,Autumn,10.7,16,89,17.2,82.49,2.5,,,divBar,Purraj19
57,4/21/2020 21:32,Summer,41.4,,23.6,6.9,71.65,1.8,,,divChi,Pursyl6
58,10/28/2018 20:15,Spring,44.5,,52.4,1.3,89.34,0.7,9.2,,divBar,EPAbar4
59,4/18/2020 10:15,Spring,64,,48.5,13.9,66.95,2.5,4.9,,divBar,EPAdha15
60,4/18/2020 9:09,Autumn,147.1,35.71,81.8,13.9,82.75,2.5,6.6,,divMym,Pursyl7
61,10/21/2019 14:31,Winter,149,7.49,62.1,11.4,79.64,2.6,11.2,,divRaj,IQAdha21
62,4/21/2020 20:35,Spring,83.4,5.7,63.5,8.1,74.8,2.5,8.2,,divDha,EPAbar20
63,10/28/2018 20:07,Spring,35.8,31.8,79.2,23,81.34,2.4,13.2,,divChi,EPAbar8
64,10/28/2018 21:35,Spring,77.5,9.17,69.1,11.4,77.68,2.5,8,,divChi,EPAdha17
65,10/21/2019 14:42,Winter,208.5,24.97,9.4,25.3,86.64,2.4,9.8,,divBar,IQAkhu5
66,4/18/2020 10:48,Winter,254.4,,3.1,8.1,64.19,2.4,8.2,,divBar,EPAchi20
67,4/18/2020 9:42,Winter,253.6,7.55,78,11.4,82.29,2.5,16.1,,divBar,Purraj3
68,4/21/2020 22:58,Winter,231.1,36.4,76.8,13.9,67.11,2.4,,,divDha,EPAchi16
69,10/28/2018 21:17,Summer,24.7,7.42,76.8,1.3,83.64,2.5,4.5,,divChi,EPAchi4
70,10/28/2018 20:17,Winter,153.5,32.2,52.1,12.8,63.58,2.5,13.9,,divDha,IQAraj10
71,4/18/2020 9:49,Spring,63.3,15.82,66.3,6.9,8.63,2.6,9.2,,divMym,Purraj19
72,4/18/2020 8:24,Winter,187.6,3,82.7,1.3,74.5,2.6,2.4,,divKhu,EPAbar10
73,4/21/2020 22:54,Summer,38.2,,54.6,6.9,7.94,2.6,2.5,,divChi,EPAbar22
74,10/28/2018 20:55,Spring,40,54.91,76.6,16.1,78.25,2.6,11.3,,divKhu,EPAchi23
75,4/18/2020 9:40,Winter,170.2,14,67.9,12.8,75.16,2.6,7.3,,divBar,IQAdha10
76,4/21/2020 22:24,Spring,76.3,,,6.9,7.1,2.3,,,divRan,Purran5
77,4/21/2020 21:18,Autumn,133.7,,48,6.9,64.19,2.2,,,divKhu,Pursyl10
78,10/28/2018 22:29,Spring,57.3,,2.3,9.2,63.46,2.4,,,divChi,IQAkhu5
79,10/28/2018 20:59,Autumn,39,,42.1,9.2,78.59,1.2,9.3,,divRan,IQAkhu2
80,10/21/2019 14:48,Autumn,15.2,,1.9,1.3,61.41,2.3,16.1,,divRan,EPAchi17
81,4/18/2020 10:31,Spring,56,22,45.8,11.4,63.97,2.7,14.3,,divMym,Purraj16
82,4/21/2020 22:57,Winter,100.4,21.9,67,11.4,66.16,2.6,5.5,,divDha,Purran20
83,10/21/2019 14:20,Winter,133.5,25.76,73.7,9.2,8.1,2.6,14.9,,divKhu,Pursyl12
84,4/21/2020 22:39,Summer,21.5,19.48,7,11.4,67.5,2.4,7.1,,divRan,EPAbar13
85,4/21/2020 21:50,Winter,165.8,,29.4,6.9,75.83,1.6,8.1,,divSyl,IQAkhu13
86,4/18/2020 8:55,Winter,183.2,12.94,79.6,13.9,84.41,2.6,14.4,,divSyl,Purran3
87,4/21/2020 21:01,Summer,33.3,,58.6,5.8,81.8,1.4,15.1,,divMym,EPAdha17
88,10/21/2019 13:26,Winter,182.8,,5.4,6,66.4,1.8,1.8,,divRaj,EPAchi12
89,10/21/2019 13:30,Autumn,42,3.2,73.5,11.4,71.3,2.5,18.7,,divDha,EPAdha12
90,10/28/2018 22:20,Summer,16.6,0.4,36.8,19.7,6.95,2.6,15,,divRan,EPAchi19
91,10/21/2019 13:26,Spring,38.7,2,72.9,9.2,73.97,2.6,8,,divRan,IQAkhu13
92,10/28/2018 20:46,Autumn,75.5,,54,11.4,58.83,2.5,6,,divBar,EPAchi6
93,10/21/2019 13:40,Spring,91.2,,0.4,11.4,46.72,2.5,1.3,,divChi,Purran17
94,10/28/2018 20:02,Spring,41.8,12.2,88.5,15,75.23,2.5,7.7,,divRan,Purraj6
95,10/21/2019 13:43,Summer,21.2,,,1.3,56.23,2.1,14.9,,divChi,Purran13
96,4/21/2020 22:10,Summer,33.4,13.42,66.2,11.4,75.68,2.5,1.7,,divMym,Pursyl22
97,4/18/2020 9:37,Spring,127.4,,,6.9,68.63,1.7,6.9,,divRaj,Purran3
98,10/28/2018 20:20,Summer,29.3,1,55.5,9.2,74.32,2.6,9.8,,divMym,EPAdha15
99,4/21/2020 21:15,Spring,62.9,66.61,91.3,11.4,88.4,2.4,6.5,,divKhu,IQAmym8
100,10/21/2019 13:45,Spring,112.5,,2.3,5.8,63.47,2,7.8,,divSyl,Purran23
101,10/21/2019 13:43,Spring,153.3,,2.1,4.7,68.75,2.5,3,,divDha,IQAkhu3
102,4/18/2020 9:15,Winter,157.9,16.4,69.5,12.8,77.78,2.7,5.5,,divChi,Purraj1
103,10/28/2018 22:16,Spring,23.4,6.72,8.1,11.4,87.55,2.4,1.6,,divKhu,Pursyl22
104,4/18/2020 9:27,Spring,50.7,,41.7,6.9,74.3,2.4,8.3,,divChi,Pursyl22
105,4/21/2020 21:50,Winter,186.3,1,65.1,8.1,72.89,2.6,1.6,,divBar,Purraj4
106,10/21/2019 14:02,Winter,106.7,,6.3,9.2,73.9,1.3,17.6,,divMym,EPAbar3
107,10/21/2019 14:37,Summer,38.8,,1.5,8.1,69.87,2.1,15.5,,divSyl,EPAbar3
108,10/21/2019 14:04,Spring,69,12.7,7.2,17.2,76.77,2.6,7.3,,divKhu,EPAchi10
109,10/21/2019 14:36,Spring,30.4,,2.6,6.9,69.51,2.3,1.1,,divBar,Purran8
110,4/18/2020 9:58,Summer,32.5,,42.8,8.1,68.5,2.7,11.3,,divMym,Purraj15
111,10/21/2019 15:06,Autumn,68.4,17.77,92.8,16.1,93.43,1.8,17.3,,divBar,IQAmym3
112,4/21/2020 22:53,Summer,27.9,,49.3,8.1,73.47,1.5,8.1,,divSyl,Purraj6
113,4/18/2020 8:42,Autumn,32.5,2,52.7,9.2,71.53,2.6,28.3,,divChi,IQAmym22
114,4/21/2020 21:07,Winter,202.9,68.93,85.7,13.9,85.53,2.5,4.3,,divChi,IQAkhu21
115,4/18/2020 10:11,Spring,76,,31.9,9.2,78.6,1.6,8.5,,divRan,Purraj3
116,4/21/2020 22:43,Summer,9.6,,2.7,9.2,67.18,2.5,6.1,,divMym,EPAdha2
117,4/18/2020 9:19,Spring,56.9,,22.8,1.3,56.85,2.5,6.2,,divDha,EPAdha11
118,4/18/2020 9:53,Spring,59.7,,24.1,3.4,69.9,2.5,14.2,,divRaj,IQAmym15
119,4/21/2020 23:00,Spring,115,,35.1,4.7,77.42,1.6,16.8,,divChi,EPAdha3
120,4/18/2020 8:35,Summer,32.3,9.5,83.2,9.2,8.54,2.5,11.1,,divBar,IQAmym12
121,4/21/2020 22:59,Spring,50.3,,,11.4,59.42,2.3,17.7,,divRan,Pursyl14
122,4/18/2020 8:11,Spring,118.6,,35.3,7.6,68.59,1.8,17,,divKhu,IQAmym13
123,10/28/2018 22:04,Spring,47,,82.1,13.9,83.65,2.4,,,divRaj,Pursyl15
124,4/18/2020 8:38,Summer,19.5,,71.2,23,69.91,2.6,11.2,,divRan,Purraj6
125,4/21/2020 22:38,Winter,152.8,29.35,75.1,11.4,81.36,2.6,19.4,,divChi,EPAdha16
126,4/21/2020 21:42,Winter,141,3.6,53.7,9.2,73.3,2.6,5,,divRaj,Purran7
127,4/21/2020 22:20,Spring,37.1,,2.4,5.8,6.28,2,8.7,,divMym,IQAmym5
128,10/28/2018 22:22,Winter,149.8,8,81.1,12.8,76.62,2.6,17.2,,divKhu,Purraj12
129,4/21/2020 22:19,Autumn,67.2,,3.5,5.2,68.1,2,16.4,,divRan,Pursyl16
130,4/21/2020 22:34,Spring,74.1,,8.4,8.1,65.94,2.2,1.5,,divKhu,Purraj2
131,4/21/2020 23:00,Summer,41.1,,,11.4,48.62,2.5,8.8,,divMym,EPAchi17
132,4/18/2020 10:30,Winter,115,,34,1.3,49.22,2.4,5.9,,divMym,EPAbar23
133,4/21/2020 21:26,Spring,53.3,,2.3,9.2,69.66,2,7.6,,divRan,EPAdha1
134,4/18/2020 10:32,Spring,28.9,,,3.6,69,2.2,9.4,,divKhu,Purran2
135,4/21/2020 20:43,Summer,49.8,,48.3,11.4,73.31,2.6,2.6,,divChi,EPAchi3
136,10/21/2019 12:46,Summer,32,,,9.2,58.68,2.2,11,,divRan,IQAmym6
137,10/28/2018 22:15,Autumn,144,1,71.3,1.3,66.85,2.5,28.6,,divSyl,Purran21
138,10/28/2018 22:36,Winter,130.3,,2.1,9.2,67.77,1.8,7.9,,divRaj,Purraj21
139,4/21/2020 20:52,Autumn,89.9,24.91,56.6,13.9,64.69,2.3,1.4,,divDha,IQAdha4
140,4/18/2020 8:58,Spring,80.8,,4.7,6.9,68.8,2.6,8.3,,divRaj,EPAchi16
141,10/21/2019 13:33,Autumn,70.6,,68.2,48.6,7.79,2.2,7.7,,divDha,IQAkhu1
142,4/21/2020 20:55,Winter,260.9,,21.4,6.9,64.11,2.5,7.3,,divMym,EPAchi16
143,10/28/2018 22:29,Autumn,79.8,,21,8.1,61.9,2.4,5.7,,divBar,IQAkhu15
144,10/21/2019 15:05,Spring,128.8,0.8,47.5,11.4,62.58,2.6,11.2,,divMym,EPAbar16
145,10/28/2018 22:25,Summer,24,2.18,78.9,18.3,79.61,2.7,,,divChi,EPAdha20
146,10/28/2018 22:19,Winter,62,,68,11.4,75.66,2.7,,,divChi,IQAkhu10
147,10/28/2018 21:23,Spring,94.2,5.4,56.2,12.8,63.48,2.4,9.2,,divMym,EPAdha12
148,10/21/2019 12:50,Summer,42.3,8.74,69.5,17.2,8.44,2.5,14.6,,divBar,EPAchi10
149,10/28/2018 21:41,Autumn,50.2,18.3,5,12.8,79.19,2.5,4.7,,divSyl,Pursyl21
150,4/21/2020 20:37,Spring,138.1,,29.6,1.3,7.14,2.6,,,divDha,EPAchi2
151,10/28/2018 20:34,Spring,131.2,,15.1,9.1,62.4,2.2,9.2,,divBar,EPAbar12
152,10/21/2019 15:20,Summer,38.1,18.36,82.4,11.4,85.2,2.5,6,,divRan,IQAdha13
153,10/21/2019 14:22,Autumn,143.7,4.4,52.4,17.2,7.92,2.7,13.5,,divSyl,IQAmym8
154,10/21/2019 14:23,Winter,175.4,4.1,71.1,16.1,75.43,2.5,12.2,,divBar,EPAchi12
155,4/18/2020 10:11,Winter,232.6,,,5.8,71.41,2.5,8.1,,divKhu,Pursyl10
156,10/21/2019 12:43,Winter,211.6,,11.7,11.4,43.72,2.6,2.5,,divMym,IQAdha3
157,10/28/2018 20:23,Autumn,90.9,,37.9,11.4,58.1,2.3,2,,divRaj,IQAraj13
158,4/18/2020 10:36,Autumn,64,,1.4,4.7,71.7,2.5,6.5,,divRan,IQAmym12
159,10/28/2018 20:08,Autumn,149,,44.5,8.1,64.17,2.4,8.7,,divRaj,IQAraj11
160,10/21/2019 13:56,Spring,55.2,28.22,79.3,13.9,79.48,2.7,6.9,,divChi,IQAkhu8
161,10/28/2018 22:29,Winter,257.8,,52.3,16.1,66.14,2.5,9.9,,divChi,IQAkhu10
162,4/18/2020 10:00,Spring,142.3,,16.7,11.4,55.2,2.4,5.4,,divRan,Pursyl21
163,10/21/2019 12:54,Spring,45.3,,66.1,9.2,74.72,2.5,11.4,,divKhu,EPAchi19
164,4/18/2020 10:31,Winter,109.8,,83.3,11.4,79.22,2.3,1,,divKhu,Purran13
165,10/28/2018 21:03,Autumn,38.5,,34.3,9.2,51.61,2.5,11.5,,divDha,Purraj20
166,4/18/2020 9:58,Summer,45.5,,33.2,3.4,7.53,2,6.1,,divKhu,EPAdha11
167,4/21/2020 22:43,Spring,35.9,,6.9,9.2,58.76,2.4,13.8,,divBar,IQAkhu20
168,4/18/2020 8:36,Autumn,23.8,,2.1,9.2,61.55,2.3,13.9,,divBar,EPAbar9
169,4/21/2020 22:47,Autumn,241.5,17.52,8.8,1,81.34,2.6,4.3,,divRan,IQAraj12
170,4/21/2020 21:14,Winter,113.9,,1.2,9.2,69.28,2.4,12.7,,divRan,Purran21
171,10/21/2019 15:14,Spring,111.4,,2.1,11.4,64.93,1.9,1.4,,divBar,Purran5
172,4/18/2020 9:49,Spring,30.3,,51.4,5.8,6.61,2,12,,divDha,Purraj20
173,10/21/2019 14:59,Winter,162.7,,8.1,11.4,85.4,2.5,7.1,,divRaj,IQAmym4
174,10/28/2018 20:54,Winter,154,,2.4,6.9,68.28,2.3,5.8,,divSyl,EPAchi2
175,4/18/2020 9:15,Spring,152.6,13.47,76.6,15,78.64,2.6,,,divDha,IQAmym6
176,4/21/2020 21:19,Summer,29.7,24.77,77.8,13.9,81.13,2.5,13.2,,divKhu,Pursyl1
177,4/21/2020 21:04,Spring,59.1,51.43,84.7,13.9,84.31,2.5,11,,divSyl,EPAbar20
178,10/28/2018 22:28,Winter,193.8,,,11.4,61.1,2.5,12.1,,divDha,EPAchi20
179,10/28/2018 20:32,Winter,112.3,,78,11.4,79.16,1.8,13.7,,divDha,Purran5
180,10/21/2019 12:44,Spring,37.3,,41.8,13.9,64.96,2.4,8.5,,divRaj,Purran19
181,4/18/2020 9:16,Winter,205.4,,6.4,6.9,66.65,1.7,9.6,,divRaj,EPAchi10
182,4/21/2020 21:58,Summer,32.4,,33.6,13.9,6.9,2.5,9.5,,divChi,EPAdha22
183,10/21/2019 14:36,Spring,95.8,,61.6,18.3,69.57,2.5,16.5,,divRan,EPAdha7
184,10/21/2019 14:01,Autumn,42.8,,22.2,9.2,68.94,2.3,14.9,,divRan,IQAdha19
185,4/21/2020 22:06,Autumn,34,,21.3,11.4,74.94,1.6,12.7,,divBar,IQAdha9
186,10/28/2018 20:33,Winter,129.8,,,9.2,59.53,2.5,6.3,,divKhu,Purraj15
187,4/18/2020 9:58,Winter,225.4,3.6,54.8,23,73.83,2.6,1.6,,divChi,EPAdha20
188,4/18/2020 8:45,Spring,73.5,4,67.8,11.4,78.89,2.7,17,,divRan,IQAkhu7
189,10/21/2019 15:18,Winter,198.6,3.41,78.3,15,72.74,2.7,14.2,,divMym,EPAchi19
190,10/28/2018 20:23,Summer,19.7,,79.3,15,71.78,2.5,9.6,,divDha,Purraj7
191,10/21/2019 13:30,Winter,166.3,,5,11.4,69.88,2.6,11.4,,divRaj,IQAkhu20
192,4/21/2020 21:09,Autumn,43,,16.7,1.3,6.8,2.5,8.1,,divChi,Purraj6
193,10/21/2019 14:49,Autumn,48.9,,38.6,6.9,66.51,2.4,1.4,,divDha,IQAraj10
194,10/28/2018 21:39,Winter,82.4,1,66.1,16.1,67.16,2.7,13.6,,divDha,EPAchi18
195,10/28/2018 20:43,Spring,87.2,,,6.9,68.2,2.3,12.8,,divRan,Purran13
196,10/28/2018 21:39,Winter,176.3,,71,24.2,71.3,2.3,9.4,,divBar,EPAchi5
197,4/21/2020 20:40,Spring,64,,17.9,11.4,62.36,2,2.4,,divBar,IQAmym4
198,10/21/2019 13:46,Autumn,52.9,,4.2,11.4,56.91,2.3,18,,divChi,IQAdha23
199,10/21/2019 13:27,Winter,195.3,1.2,49.7,23.9,73.1,2.7,19.1,,divMym,IQAmym23
200,4/18/2020 10:05,Autumn,60,35.7,65,13.9,73.33,2.6,16.2,,divSyl,IQAdha19
201,4/18/2020 8:52,Autumn,19.3,,15.1,11.4,58.63,2.4,14.6,,divMym,Purraj7
202,10/28/2018 22:09,Winter,136.4,22.18,88.6,9.2,86.43,2.5,11.9,,divChi,IQAkhu6
203,4/21/2020 22:28,Winter,199.9,,31.9,9.2,57.68,2.1,21.7,,divMym,Purran20
204,4/21/2020 21:15,Spring,32.9,,14.1,9.3,73.57,1.7,6.5,,divDha,IQAdha9
205,4/21/2020 22:22,Autumn,114.6,,71.9,18.3,65.96,2.5,5.2,,divSyl,IQAmym2
206,4/21/2020 23:03,Spring,146.2,,18.4,11.4,69.74,1.6,9.4,,divBar,Pursyl2
207,4/21/2020 22:41,Spring,109.8,,23.9,5.8,74.65,1.7,4,,divChi,Purran13
208,4/21/2020 23:01,Winter,257.9,195.51,94.8,25.3,92.58,1.6,9.1,,divRaj,Pursyl9
209,10/21/2019 13:02,Winter,231.8,,37.5,6.9,57.67,2.3,14.1,,divRaj,Purran15
210,10/28/2018 20:55,Spring,92.7,,46.5,6.9,74.93,2.5,15.4,,divKhu,EPAchi20
211,10/28/2018 21:45,Spring,99.5,,15.6,8.1,72.93,1.8,14.6,,divRaj,Purran23
212,4/18/2020 10:19,Spring,33.8,12.25,77.4,17.2,84.27,2.5,8.9,,divMym,IQAkhu13
213,4/18/2020 8:17,Summer,27.6,3,47.1,23,7.23,2.6,6,,divDha,EPAdha6
214,10/21/2019 14:01,Spring,102.5,0.19,62.6,18.3,72.18,2.5,19.7,,divKhu,IQAdha6
215,10/28/2018 21:59,Summer,22.2,4.54,8.9,6.9,79.74,2.2,6.5,,divDha,Purran15
216,10/28/2018 20:33,Autumn,106.9,,9.2,11.4,67.39,2,1.2,,divKhu,EPAbar1
217,10/28/2018 20:56,Autumn,73.5,23.2,78.3,11.4,78.2,2.5,11.9,,divChi,IQAkhu1
218,10/21/2019 13:49,Winter,257,17.74,57.9,9.2,72.6,2.5,3.2,,divChi,EPAchi10
219,4/21/2020 22:58,Spring,115.6,,7.2,13.9,69.86,2.7,15.1,,divBar,EPAdha15
220,10/21/2019 14:50,Winter,143.3,0.4,69.4,13.9,75.73,2.7,6,,divChi,Purraj6
221,4/18/2020 9:06,Winter,215.6,,24.2,6.9,7.15,2.5,5.7,,divBar,IQAkhu15
222,10/21/2019 13:44,Spring,55.2,7.66,67.9,19.3,76.4,2.6,8.7,,divSyl,IQAdha2
223,10/28/2018 20:54,Summer,35.8,,0.1,6.9,62.1,2.4,14.7,,divChi,EPAchi4
224,10/21/2019 12:48,Autumn,55.3,,27,9.2,79.24,1.4,1.7,,divRaj,EPAbar19
225,10/21/2019 12:45,Spring,38,,,9.2,54.75,2.4,4.4,,divMym,EPAchi3
226,10/28/2018 20:29,Winter,114.2,,,9.2,64.1,2,7.1,,divRaj,EPAdha12
227,10/28/2018 22:12,Winter,200.6,,32.1,9.2,75.1,2.1,3.1,,divSyl,IQAdha23
228,4/21/2020 21:46,Spring,49,6,75.6,13.9,75.14,2.6,4.7,,divKhu,Pursyl22
229,10/28/2018 22:10,Summer,34.4,,,8.1,62.94,2.1,6.2,,divMym,Purraj14
230,10/28/2018 20:13,Spring,53,,69.7,8.1,76.48,2.6,14.4,,divRaj,Pursyl22
231,10/21/2019 14:09,Winter,126.3,,7.4,8.1,66.11,2,14.2,,divRaj,Purran21
232,10/28/2018 21:04,Summer,21.3,,9.4,9.2,71.59,1.9,14.3,,divDha,Pursyl5
233,4/18/2020 9:17,Winter,227.1,,2.1,8.1,62.4,2.1,5.8,,divRaj,IQAraj12
234,10/21/2019 13:16,Winter,201.5,,46.5,11.4,66,2.6,12.7,,divKhu,Pursyl2
235,10/21/2019 14:15,Autumn,135,2.2,64.1,9.2,78.96,2.6,16.4,,divBar,Purraj20
236,4/18/2020 8:22,Winter,165.6,,5.8,4.7,83.43,0.8,6.5,,divRan,Purran6
237,4/18/2020 8:43,Spring,89.2,,49.1,117.4,62.13,2.4,,,divRan,EPAchi1
238,4/21/2020 22:12,Winter,212.1,,0.1,9.2,71.47,1.8,25.5,,divSyl,IQAraj15
239,4/21/2020 22:13,Spring,33.3,,,6.9,64.33,1.9,28.2,,divKhu,Purraj18
240,4/18/2020 9:20,Summer,25.5,,31.5,9.2,6.59,2.5,16.3,,divRaj,IQAkhu9
241,10/21/2019 13:59,Winter,125,,,9.2,62.75,1.9,14.9,,divChi,Purraj3
242,10/28/2018 21:33,Summer,25.3,,,9.2,58.58,2,13.5,,divChi,Pursyl1
243,4/21/2020 22:26,Winter,177.1,,51.3,9.2,68.52,2.4,15.5,,divDha,EPAbar1
244,4/18/2020 9:52,Autumn,157,,1.3,11.4,54.32,2.2,5.4,,divKhu,EPAchi14
245,10/28/2018 22:35,Spring,34.4,43.46,71.4,18.3,79.65,2.5,12.4,,divRaj,IQAkhu6
246,4/18/2020 8:56,Winter,105,46.5,69,9.2,77.24,2.7,11.9,,divDha,Purraj17
247,10/21/2019 15:19,Winter,165.5,11.81,87.6,16.1,79.6,2.3,5.3,,divDha,Pursyl14
248,10/28/2018 21:38,Spring,39.3,,32.9,6.9,69.54,2.1,6.9,,divKhu,Purraj23
249,4/21/2020 20:43,Summer,65.5,,19.6,6.9,6.96,2.2,18.6,,divRaj,IQAdha9
250,4/18/2020 10:28,Autumn,33,12.69,87.4,17.2,85.73,2.5,9.2,,divMym,Pursyl4
251,10/28/2018 20:54,Autumn,55.8,,27,18.3,61.65,2.1,11.4,,divBar,EPAchi9
252,10/28/2018 20:30,Spring,62.5,,16.7,3.4,74.79,1.6,11.6,,divKhu,EPAbar7
253,4/21/2020 22:10,Autumn,27.4,8.41,87.7,12.8,8.84,2.6,2.8,,divKhu,Purran19
254,4/18/2020 10:34,Spring,136,71.77,87.7,11.4,88.66,2.3,,,divRan,EPAchi2
255,4/18/2020 9:53,Autumn,146.9,,28.6,9.2,74.11,2.4,9,,divRaj,Purraj13
256,4/18/2020 9:11,Spring,109,,15.6,11.4,62.18,2.3,26.3,,divChi,IQAdha19
