time,PM25,Average Temperature,Rain Precipitation,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Station,Division,Organization,Season
4/13/2017,129.8,30,0,9.2,2.7,1.4,58.98,18,Mymensingh,IQAir,Spring
4/14/2017,149.9,30.2,0,11.4,2.6,5.5,55.11,13,Rangpur,PurpleAir,Spring
4/15/2017,63.3,29.3,0,11.4,2.6,36.2,63.17,23,Chittagong,EPA,Spring
4/17/2017,78.1,28.7,0,11.4,2.7,3.4,56.56,23,Rajshahi,IQAir,Spring
4/18/2017,61.4,29.5,0,13.9,2.6,32.4,63.24,23,Rangpur,IQAir,Spring
4/20/2017,41.8,25.4,14.12,18.3,2.5,65.7,78.63,2,Dhaka,PurpleAir,Spring
4/21/2017,45.3,25.4,19.33,17.2,2.5,83.4,80.33,2,Khulna,EPA,Spring
4/23/2017,56,23.9,24.97,25.3,2.4,90.4,86.64,5,Chittagong,EPA,Spring
4/24/2017,44.4,23.1,66.28,24.2,2.4,90,86.72,4,Mymensingh,PurpleAir,Spring
4/25/2017,64.5,27.5,44,16.1,2.5,75.2,79.49,3,Khulna,IQAir,Spring
4/27/2017,58.3,30,0,13.9,2.6,80.1,73.17,13,Chittagong,PurpleAir,Spring
4/28/2017,64,29.9,0,13.9,2.6,57.9,73.2,2,Chittagong,EPA,Spring
4/30/2017,59.7,28.1,3.51,28.9,2.6,48.5,71.2,19,Sylhet,IQAir,Spring
5/1/2017,40,26.9,18.26,15.9,2.5,68.3,70.84,3,Chittagong,EPA,Spring
5/3/2017,91.1,29.7,0,11.4,2.5,41.4,67.94,23,Mymensingh,PurpleAir,Spring
5/4/2017,60.7,29.4,0,17.2,2.6,26.7,67.27,5,Khulna,IQAir,Spring
5/5/2017,59.1,30.3,0,11.4,2.6,49.5,68.2,16,Dhaka,IQAir,Spring
5/7/2017,36,29.4,0,12.8,2.6,62.1,70.37,23,Rajshahi,PurpleAir,Spring
5/8/2017,45.5,30.9,0,11.4,2.6,67,65.28,3,Rangpur,IQAir,Spring
5/10/2017,81.5,28.2,4,8.1,2.6,57.5,74.24,22,Rajshahi,EPA,Spring
5/11/2017,43.8,30.2,0,11.4,2.6,57.7,68.25,20,Sylhet,PurpleAir,Spring
5/13/2017,59.1,29.9,0.4,11.4,2.7,68,72.09,3,Khulna,EPA,Spring
5/14/2017,47.6,28.9,34.55,9.2,2.6,58.2,74.21,9,Barishal,IQAir,Spring
5/15/2017,31.2,28.1,54.91,16.1,2.6,76.6,78.25,5,Sylhet,EPA,Spring
5/17/2017,49.5,28.2,11.97,40.3,2.5,78.6,79.19,7,Khulna,IQAir,Spring
5/18/2017,36.7,29.2,37.08,11.4,2.6,53.6,69.8,20,Barishal,IQAir,Spring
5/20/2017,57,31.2,0,11.4,2.6,50,69.88,13,Sylhet,EPA,Spring
5/21/2017,46.2,31.2,0,13.9,2.6,54.1,69.91,4,Rajshahi,PurpleAir,Spring
5/23/2017,49,32,0,11.4,2.7,48.9,69.34,12,Dhaka,PurpleAir,Spring
5/24/2017,46.4,32.3,0,11.4,2.7,54,69.31,10,Rangpur,PurpleAir,Spring
5/25/2017,38.2,32.1,0,13.9,2.6,40.5,67.04,16,Mymensingh,IQAir,Spring
5/27/2017,55.5,29.7,2.97,8.1,2.6,66.1,74.46,3,Sylhet,PurpleAir,Spring
5/28/2017,73.5,30.2,3.6,9.2,2.6,53.7,73.03,10,Mymensingh,EPA,Spring
5/30/2017,20.6,27.6,35.4,10.3,2.5,87.3,82.86,14,Sylhet,IQAir,Spring
5/31/2017,61.4,28.9,22.48,20.8,2.6,78.3,78.18,3,Khulna,PurpleAir,Spring
6/2/2017,33.5,27.8,46.55,17.2,2.6,87.3,79.23,13,Rajshahi,PurpleAir,Summer
6/3/2017,41.1,30.3,32.02,16.1,2.6,74.6,74.95,4,Dhaka,EPA,Summer
6/4/2017,38.1,30,7.66,19.3,2.6,67.9,76.4,16,Khulna,EPA,Summer
6/6/2017,58.8,29.6,10,9.2,2.6,47,72.62,8,Dhaka,IQAir,Summer
6/7/2017,53.6,31.6,1.2,9.2,2.7,41.9,70.4,3,Rajshahi,IQAir,Summer
6/9/2017,50.9,29.5,17.2,6.9,2.6,64.5,76.79,10,Barishal,IQAir,Summer
6/10/2017,37,31,0,11.4,2.5,50.7,69.14,22,Sylhet,PurpleAir,Summer
6/12/2017,8.3,25.6,203.09,18.3,2.4,94.9,94.07,14,Rangpur,IQAir,Summer
6/13/2017,35.2,28.5,16.49,13.9,2.5,79.8,80.34,10,Khulna,IQAir,Summer
6/14/2017,37.1,28.8,0,11.4,2.5,80.1,85.04,13,Barishal,EPA,Summer
6/16/2017,20,26.9,0,13.9,2.5,87.9,87.68,13,Rangpur,PurpleAir,Summer
6/17/2017,40,28,0,17.2,2.4,68.6,80.38,1,Rangpur,IQAir,Summer
6/19/2017,44,25.8,74.81,13.9,2.3,91.9,90.73,20,Barishal,PurpleAir,Summer
6/20/2017,49.8,28,2.2,9.2,2.6,81.2,78.12,21,Barishal,IQAir,Summer
6/22/2017,36.1,29,12.99,11.4,2.7,73.5,80.4,21,Rangpur,EPA,Summer
6/23/2017,29.7,30,0,11.4,2.6,60.4,72.33,23,Khulna,EPA,Summer
6/24/2017,23.8,30.6,5,11.4,2.6,47.6,69.06,22,Chittagong,PurpleAir,Summer
6/26/2017,8.2,29.9,4.62,17.2,2.6,59.1,73.86,23,Mymensingh,PurpleAir,Summer
6/27/2017,8.3,30,4.97,13.9,2.6,61.7,73.99,5,Barishal,IQAir,Summer
6/29/2017,13,29.7,11,12.8,2.7,65.1,77.28,5,Rangpur,PurpleAir,Summer
6/30/2017,17.2,29.4,6.4,17.2,2.6,72,78.38,21,Barishal,EPA,Summer
7/2/2017,16.6,28.3,68.93,13.9,2.5,85.7,85.53,9,Chittagong,EPA,Summer
7/3/2017,33.3,27.8,66.61,11.4,2.4,91.3,88.4,8,Chittagong,EPA,Summer
7/4/2017,39.3,27.7,41.71,17.2,2.3,80.1,87.13,20,Rangpur,PurpleAir,Summer
7/6/2017,29.2,29,0,13.9,2.5,72.5,79.97,9,Rangpur,PurpleAir,Summer
7/7/2017,33.5,28.6,0,11.4,2.5,71.6,83.22,22,Sylhet,IQAir,Summer
7/9/2017,26.8,29.4,0,11.4,2.5,68.9,75.58,15,Dhaka,IQAir,Summer
7/10/2017,31.7,27.9,0,13.9,2.4,82.1,83.65,10,Barishal,EPA,Summer
7/12/2017,31.9,27.7,95.55,11.4,2.4,84.4,84.68,2,Rangpur,PurpleAir,Summer
7/13/2017,26.8,28.6,22.18,13.5,2.5,79,79.41,22,Barishal,EPA,Summer
7/14/2017,23,29.6,5.76,9.2,2.6,74.3,74.76,3,Rangpur,EPA,Summer
7/16/2017,31.4,31.3,4,9.2,2.6,59.9,67.09,13,Barishal,IQAir,Summer
7/17/2017,25.9,31,12.47,9.2,2.8,73.7,74.04,13,Khulna,PurpleAir,Summer
7/19/2017,13.6,27.5,18.44,13.9,2.1,88.9,88.31,15,Rangpur,PurpleAir,Summer
7/20/2017,22.2,26.8,99.09,11.4,2.5,94,90.02,19,Mymensingh,EPA,Summer
7/22/2017,17.3,28.8,41.4,11.4,2.6,78,79.36,20,Sylhet,PurpleAir,Summer
7/23/2017,18.9,28,32.37,11.4,2.5,85.1,82.89,9,Barishal,IQAir,Summer
7/24/2017,20.8,26.9,70.08,18.3,2.5,90.2,90.17,5,Rajshahi,PurpleAir,Summer
7/26/2017,29.9,26.7,85.63,9.2,2.4,84,90.62,20,Rangpur,EPA,Summer
7/27/2017,35.3,29.5,13.7,9.2,2.6,68.2,77.7,22,Dhaka,IQAir,Summer
7/29/2017,44.3,29,11.6,6.9,2.6,72.1,82.31,16,Rajshahi,PurpleAir,Summer
7/30/2017,60.8,28.7,18.13,13.9,2.5,71.1,80.53,17,Rajshahi,IQAir,Summer
8/1/2017,37.6,30,38,11.4,2.6,70.7,77.35,15,Chittagong,IQAir,Summer
8/2/2017,45.3,28.4,60.17,11.4,2.5,82.6,83.38,10,Sylhet,IQAir,Summer
8/3/2017,52.6,28.6,207.06,11.4,2.5,76.9,84.85,19,Rangpur,EPA,Summer
8/5/2017,22.9,29.8,1.6,12.8,2.6,70.2,77.71,17,Rajshahi,IQAir,Summer
8/6/2017,36.8,29.4,18.76,11.4,2.6,76.9,79.32,11,Rangpur,PurpleAir,Summer
8/8/2017,37.6,30.2,11.22,13.9,2.6,61.7,75.22,14,Mymensingh,PurpleAir,Summer
8/9/2017,30.2,30.3,9.39,11.4,2.6,68.5,75.61,3,Dhaka,PurpleAir,Summer
8/11/2017,33.9,27.9,43.76,16.1,2.5,93.4,89.89,3,Barishal,EPA,Summer
8/12/2017,28.2,26.9,100.66,11.4,2.1,94.7,91.9,8,Chittagong,IQAir,Summer
8/13/2017,35,28.1,25.66,9.2,2.5,86.5,83.65,12,Dhaka,PurpleAir,Summer
8/15/2017,38.2,28.3,116.52,9.2,2.5,85.5,86.92,23,Mymensingh,PurpleAir,Summer
8/16/2017,63.5,27.8,71.05,9.2,2.4,78.8,86.56,18,Chittagong,PurpleAir,Summer
8/18/2017,25.8,29.4,0,11.4,2.6,73.7,78.88,16,Barishal,IQAir,Summer
8/19/2017,21,29.8,1,11.4,2.7,70.6,72.52,3,Dhaka,PurpleAir,Summer
8/21/2017,43.9,29.5,17.8,11.4,2.6,65.8,77.05,2,Barishal,IQAir,Summer
8/22/2017,42.1,29,115.2,11.4,2.4,75.9,79.39,8,Barishal,IQAir,Summer
8/23/2017,24.1,28.2,176.24,11.4,2.6,72.4,85.09,5,Khulna,IQAir,Summer
8/25/2017,27.8,29.7,33.79,9.2,2.7,58.6,79.68,6,Dhaka,PurpleAir,Summer
8/26/2017,22.5,29.9,1,11.4,2.6,62.2,75.2,19,Sylhet,EPA,Summer
8/28/2017,22.1,29,14.56,13.9,2.6,74.7,78.5,14,Chittagong,PurpleAir,Summer
8/29/2017,27.8,29.1,40.19,11.4,2.6,61.9,77.5,21,Sylhet,EPA,Summer
8/31/2017,28.7,28.2,94.5,5.8,2.4,72.3,85.28,19,Sylhet,EPA,Summer
9/1/2017,18.5,29.2,87.12,11.4,2.6,71.1,77.99,19,Barishal,IQAir,Autumn
9/2/2017,21.9,28.8,17.52,10,2.6,80.8,81.34,12,Rangpur,EPA,Autumn
9/4/2017,29.5,30.3,12.55,11.4,2.7,61.4,74.42,3,Rajshahi,IQAir,Autumn
9/5/2017,42.8,30.5,2,9.2,2.6,72.9,73.97,7,Khulna,EPA,Autumn
9/7/2017,34.2,29.8,0,8.1,2.6,75.4,75.2,12,Sylhet,PurpleAir,Autumn
9/8/2017,21.1,30.5,0,11.4,2.6,73.1,73.36,13,Sylhet,PurpleAir,Autumn
9/10/2017,23.8,27.7,61.91,11.4,2.4,81.5,85.7,20,Khulna,EPA,Autumn
9/11/2017,55.3,26,114.61,11.4,2.2,86,89.72,4,Mymensingh,EPA,Autumn
9/12/2017,34,28.4,15.82,6.9,2.6,66.3,80.63,5,Rangpur,EPA,Autumn
9/14/2017,34.7,29.8,0,8.1,2.6,69.7,76.48,16,Sylhet,EPA,Autumn
9/15/2017,57.1,29.8,0,9.2,2.6,64.2,78.31,10,Chittagong,PurpleAir,Autumn
9/17/2017,43,29.1,8.74,17.2,2.5,69.5,80.44,11,Mymensingh,EPA,Autumn
9/18/2017,17.2,29.2,16.37,9.2,2.6,71.7,74.59,6,Barishal,IQAir,Autumn
9/20/2017,23,28,84.33,13.9,2.4,83.5,85.25,21,Chittagong,PurpleAir,Autumn
9/21/2017,27.8,28.9,7.49,11.4,2.6,62.1,79.64,5,Barishal,EPA,Autumn
9/22/2017,27.4,30.4,0,6.9,2.7,47,72.03,20,Rajshahi,EPA,Autumn
9/24/2017,50.8,31.1,0,9.2,2.6,45.2,73.75,9,Sylhet,PurpleAir,Autumn
9/25/2017,64,30.3,7,6.9,2.5,66.4,77.85,19,Khulna,EPA,Autumn
9/27/2017,80.6,29.4,5.59,13.9,2.5,68.4,82.34,1,Rangpur,IQAir,Autumn
9/28/2017,80.6,28.7,83.96,10.6,2.5,86.6,84.14,7,Rangpur,PurpleAir,Autumn
9/30/2017,36.4,27.9,39.45,9.2,2.6,75.7,85.12,22,Sylhet,PurpleAir,Autumn
10/1/2017,47.3,27.1,40.33,6.9,2.3,79.4,87.02,8,Barishal,PurpleAir,Autumn
10/2/2017,42.1,28.5,20.71,6.9,2.6,74.1,77.88,16,Sylhet,PurpleAir,Autumn
10/4/2017,45.6,30.3,0,5.8,2.6,49.9,75.06,15,Rangpur,IQAir,Autumn
10/5/2017,47.8,30.5,0,9.2,2.6,56.5,74.2,15,Dhaka,IQAir,Autumn
10/7/2017,21.2,28.4,5.8,9.2,2.5,75,80.8,3,Sylhet,EPA,Autumn
10/8/2017,13,28.1,4.74,13.9,2.6,68.5,78.51,17,Barishal,IQAir,Autumn
10/10/2017,29,29.1,20,9.2,2.7,40.5,73.15,16,Mymensingh,IQAir,Autumn
10/11/2017,43.8,30,0,11.4,2.6,39.6,70.21,21,Mymensingh,IQAir,Autumn
10/12/2017,48.8,30,0,11.4,2.6,48.3,73.31,10,Sylhet,EPA,Autumn
10/14/2017,19.3,30.3,0.4,9.2,2.8,47.9,71.07,8,Dhaka,IQAir,Autumn
10/15/2017,70.5,29.5,3,6.9,2.5,70.8,75.54,17,Barishal,IQAir,Autumn
10/17/2017,84.6,30.1,0,9.2,2.4,35.4,69.82,3,Mymensingh,PurpleAir,Autumn
10/18/2017,50.2,29.7,35.7,13.9,2.6,65,73.33,14,Khulna,EPA,Autumn
10/20/2017,14.7,24.9,107.77,16.1,1.8,92.8,93.43,9,Barishal,EPA,Autumn
10/21/2017,10.7,24.5,195.51,25.3,1.6,94.8,92.58,15,Chittagong,EPA,Autumn
10/22/2017,24.5,25,6.96,13.9,2.4,69.2,82.52,20,Rangpur,EPA,Autumn
10/24/2017,73.5,27.5,0,11.4,2.2,64.6,76.55,20,Mymensingh,EPA,Autumn
10/25/2017,96.6,26.9,0,6.9,2.2,46.8,76.33,10,Rangpur,PurpleAir,Autumn
10/27/2017,90.9,26.4,0,9.2,2.4,28.6,74.11,18,Khulna,EPA,Autumn
10/28/2017,79.8,26.1,0,6.9,2.3,27.3,72.46,1,Khulna,EPA,Autumn
10/30/2017,56.5,22.9,3.2,9.2,2.3,75.1,81.94,19,Khulna,IQAir,Autumn
10/31/2017,55.4,23.7,4,6.9,2.5,35.2,73.41,8,Rajshahi,PurpleAir,Autumn
11/1/2017,50.6,24.7,0,5.8,2.5,14.6,71.79,4,Rangpur,PurpleAir,Autumn
11/3/2017,65.3,26.5,0,8.1,2.5,1.2,66.31,3,Mymensingh,IQAir,Autumn
11/4/2017,44.5,27,0,9.2,2.5,4.6,66.93,23,Sylhet,EPA,Autumn
11/6/2017,60.4,26.9,0,6.9,2.6,0,67.84,9,Chittagong,PurpleAir,Autumn
11/7/2017,60.8,26.9,0,6.9,2.5,1.9,66.84,23,Mymensingh,IQAir,Autumn
11/9/2017,72.8,25.8,0,9.2,2.6,5.9,68.94,8,Khulna,IQAir,Autumn
11/10/2017,71.2,25.8,0,5.8,2.5,4.1,67.85,3,Rajshahi,PurpleAir,Autumn
11/11/2017,75.5,25.9,0,6.9,2.5,21.4,64.11,11,Dhaka,EPA,Autumn
11/13/2017,61,26.9,0,6.9,2.6,43.2,59.41,5,Rangpur,PurpleAir,Autumn
11/14/2017,52.2,26.3,0,5.8,2.6,50,64.21,8,Mymensingh,IQAir,Autumn
11/16/2017,28,22.6,13.65,9.2,2.4,88.6,83.83,17,Sylhet,IQAir,Autumn
11/17/2017,32,25.6,5.09,6.9,2.5,72.8,79.25,2,Khulna,PurpleAir,Autumn
11/19/2017,71,26.4,0,9.2,2.3,42.9,74.88,20,Khulna,PurpleAir,Autumn
11/20/2017,115.2,25.9,0,9.2,2.4,1.2,69.28,12,Rangpur,EPA,Autumn
11/21/2017,142.1,24.2,0,13.9,2.4,0.2,66.72,9,Dhaka,PurpleAir,Autumn
11/23/2017,177.7,22.4,0,9.2,2,7.8,66.33,1,Rajshahi,IQAir,Autumn
11/24/2017,147.1,23,0,9.2,2.1,2.7,69.77,2,Chittagong,EPA,Autumn
11/26/2017,145.8,22.4,0,6.9,2.3,0,66.01,7,Mymensingh,IQAir,Autumn
11/27/2017,127.8,23.3,0,10.3,2.3,8,67.77,14,Dhaka,IQAir,Autumn
11/29/2017,241.5,21.6,0,6.9,1.3,7.5,81.49,20,Khulna,EPA,Autumn
11/30/2017,148.7,22.2,0,6.9,1.5,5.4,73.71,23,Dhaka,PurpleAir,Autumn
12/1/2017,129.2,21.9,0,5.8,2.1,0.1,71.06,1,Mymensingh,PurpleAir,Winter
12/3/2017,105,22.8,0,5.8,2.2,2.8,64.8,18,Rajshahi,EPA,Winter
12/4/2017,116.1,22.1,0,5.8,2.1,13.4,68.8,20,Sylhet,EPA,Winter
12/6/2017,122.8,21.6,0,6.9,2.4,26.7,67.58,11,Dhaka,IQAir,Winter
12/7/2017,119.5,22.6,0,6.9,2.4,25.4,64.83,7,Khulna,PurpleAir,Winter
12/9/2017,42.1,21.7,13.62,11.4,2.1,90.1,85.77,15,Mymensingh,IQAir,Winter
12/10/2017,14.2,22.2,71.28,10.3,2.4,92.5,89.33,13,Chittagong,PurpleAir,Winter
12/11/2017,35.1,23.1,9.05,9.2,2.3,79.2,87.76,8,Sylhet,PurpleAir,Winter
12/13/2017,208.3,23.6,0,5.8,1.6,15.7,79.63,20,Khulna,IQAir,Winter
12/14/2017,203.1,22.9,0,11.4,1.7,16.7,75.31,5,Barishal,PurpleAir,Winter
12/16/2017,149,20.1,0,5.8,2.1,0,68.09,2,Chittagong,EPA,Winter
12/17/2017,187.6,20.2,0,5.8,1.1,27.2,83.27,23,Chittagong,EPA,Winter
12/19/2017,133.5,19,0,8.1,1,65.1,87.63,19,Barishal,EPA,Winter
12/20/2017,154.4,19.5,0,5.2,0.6,52.3,87.45,1,Dhaka,PurpleAir,Winter
12/21/2017,154,19.7,0,6.9,1.3,31.2,78.78,22,Khulna,EPA,Winter
12/23/2017,157,21.4,0,5.8,1.7,23.9,74.65,14,Sylhet,EPA,Winter
12/24/2017,182.6,21.5,0,5.8,1.6,23.5,75.89,5,Sylhet,PurpleAir,Winter
12/26/2017,162.1,21.4,0,10.3,1.6,0,75.9,11,Mymensingh,IQAir,Winter
12/27/2017,176.5,21.2,0,9.2,1.6,0,77.23,11,Sylhet,IQAir,Winter
12/29/2017,164.6,20.5,0,6.9,1.2,30,79.9,5,Rangpur,IQAir,Winter
12/30/2017,125,21.6,0,8.1,1.8,15.6,72.93,15,Rajshahi,EPA,Winter
12/31/2017,143.3,21.2,0,5.8,2.2,6.8,66.33,22,Mymensingh,EPA,Winter
1/2/2018,169,21.1,0,8.1,1.5,49.3,73.47,9,Barishal,EPA,Winter
1/3/2018,146.2,19.2,0,11.4,1.6,18.4,69.74,14,Rangpur,EPA,Winter
1/8/2018,204.8,12.8,0,11.4,1.3,1.2,76.88,21,Khulna,IQAir,Winter
1/9/2018,195.8,15.3,0,8.1,1.4,4.2,74.27,7,Rajshahi,PurpleAir,Winter
1/11/2018,257,14.1,0,9.2,0.6,24.3,85.93,20,Mymensingh,EPA,Winter
1/12/2018,248.7,15,0,6.9,0.7,22.8,82.17,9,Rajshahi,IQAir,Winter
1/13/2018,253.6,15.7,0,6.9,0.7,39.5,85.72,21,Chittagong,EPA,Winter
1/15/2018,217.9,15.3,0,5.8,0.7,31,83.4,19,Mymensingh,PurpleAir,Winter
1/16/2018,207.6,17.6,0,8.1,1.3,20,74.67,16,Sylhet,PurpleAir,Winter
1/18/2018,160.6,19.8,0,6.9,1.4,27.6,74.78,11,Khulna,PurpleAir,Winter
1/19/2018,156.4,19.7,0,9.2,2,0,69.09,12,Rajshahi,IQAir,Winter
1/21/2018,212,18.3,0,9.2,1.3,6.3,73.9,8,Rajshahi,EPA,Winter
1/22/2018,220.5,18.3,0,6.9,1.1,32.7,77.98,13,Rangpur,IQAir,Winter
1/23/2018,200.2,20.3,0,8.1,1.4,22.3,75.93,22,Barishal,EPA,Winter
1/25/2018,194.1,19.9,0,6.9,2,5,66.42,19,Barishal,PurpleAir,Winter
1/26/2018,126.6,19.8,0,9.2,2.3,0,61.85,20,Khulna,PurpleAir,Winter
1/28/2018,176.7,17.9,0,9.2,1.8,0,66.97,9,Rangpur,IQAir,Winter
1/29/2018,234,18,0,10.3,1.7,0,67.26,15,Rajshahi,IQAir,Winter
1/31/2018,207.9,19.2,0,9.2,1.4,7,72.5,5,Dhaka,PurpleAir,Winter
