stationID,stationName,stationNo,stationOwner,locID
EPAdiv22,EPA Dhaka 22,22,EPA,divdha
EPAdiv3,EPA Dhaka 3,3,EPA,divdha
EPAdiv4,EPA Dhaka 4,4,EPA,divdha
EPAdiv6,EPA Dhaka 6,6,EPA,divdha
EPAdiv7,EPA Dhaka 7,7,EPA,divdha
EPAdiv8,EPA Dhaka 8,8,EPA,divdha
EPAdiv9,EPA Dhaka 9,9,EPA,divdha
EPAdiv15,EPA Dhaka 15,15,EPA,divdha
IQAdiv18,IQAir Dhaka 18,18,IQAir,divdha
IQAdiv2,IQAir Dhaka 2,2,IQAir,divdha
IQAdiv20,IQAir Dhaka 20,20,IQAir,divdha
IQAdiv21,IQAir Dhaka 21,21,IQAir,divdha
IQAdiv22,IQAir Dhaka 22,22,IQAir,divdha
IQAdiv23,IQAir Dhaka 23,23,IQAir,divdha
IQAdiv3,IQAir Dhaka 3,3,IQAir,divdha
IQAdiv4,IQAir Dhaka 4,4,IQAir,divdha
IQAdiv5,IQAir Dhaka 5,5,IQAir,divdha
IQAdiv7,IQAir Dhaka 7,7,IQAir,divdha
IQAdiv8,IQAir Dhaka 8,8,IQAir,divdha
IQAdiv1,IQAir Dhaka 1,1,IQAir,divdha
IQAdiv10,IQAir Dhaka 10,10,IQAir,divdha
IQAdiv12,IQAir Dhaka 12,12,IQAir,divdha
IQAdiv13,IQAir Dhaka 13,13,IQAir,divdha
IQAdiv14,IQAir Dhaka 14,14,IQAir,divdha
IQAdiv15,IQAir Dhaka 15,15,IQAir,divdha
IQAdiv19,IQAir Dhaka 19,19,IQAir,divdha
IQAdiv6,IQAir Dhaka 6,6,IQAir,divdha
IQAdiv9,IQAir Dhaka 9,9,IQAir,divdha
IQAdiv1,IQAir Khulna 1,1,IQAir,divkhu
IQAdiv10,IQAir Khulna 10,10,IQAir,divkhu
IQAdiv11,IQAir Khulna 11,11,IQAir,divkhu
IQAdiv12,IQAir Khulna 12,12,IQAir,divkhu
IQAdiv14,IQAir Khulna 14,14,IQAir,divkhu
IQAdiv15,IQAir Khulna 15,15,IQAir,divkhu
IQAdiv16,IQAir Khulna 16,16,IQAir,divkhu
IQAdiv17,IQAir Khulna 17,17,IQAir,divkhu
IQAdiv18,IQAir Khulna 18,18,IQAir,divkhu
IQAdiv19,IQAir Khulna 19,19,IQAir,divkhu
IQAdiv2,IQAir Khulna 2,2,IQAir,divkhu
IQAdiv20,IQAir Khulna 20,20,IQAir,divkhu
IQAdiv21,IQAir Khulna 21,21,IQAir,divkhu
IQAdiv22,IQAir Khulna 22,22,IQAir,divkhu
IQAdiv23,IQAir Khulna 23,23,IQAir,divkhu
IQAdiv3,IQAir Khulna 3,3,IQAir,divkhu
IQAdiv4,IQAir Khulna 4,4,IQAir,divkhu
IQAdiv5,IQAir Khulna 5,5,IQAir,divkhu
IQAdiv6,IQAir Khulna 6,6,IQAir,divkhu
IQAdiv7,IQAir Khulna 7,7,IQAir,divkhu
IQAdiv9,IQAir Khulna 9,9,IQAir,divkhu
IQAdiv13,IQAir Khulna 13,13,IQAir,divkhu
IQAdiv8,IQAir Khulna 8,8,IQAir,divkhu
IQAdiv10,IQAir Mymensingh 10,10,IQAir,divmym
IQAdiv11,IQAir Mymensingh 11,11,IQAir,divmym
IQAdiv12,IQAir Mymensingh 12,12,IQAir,divmym
IQAdiv13,IQAir Mymensingh 13,13,IQAir,divmym
IQAdiv14,IQAir Mymensingh 14,14,IQAir,divmym
IQAdiv15,IQAir Mymensingh 15,15,IQAir,divmym
IQAdiv16,IQAir Mymensingh 16,16,IQAir,divmym
IQAdiv17,IQAir Mymensingh 17,17,IQAir,divmym
IQAdiv18,IQAir Mymensingh 18,18,IQAir,divmym
IQAdiv19,IQAir Mymensingh 19,19,IQAir,divmym
IQAdiv20,IQAir Mymensingh 20,20,IQAir,divmym
IQAdiv21,IQAir Mymensingh 21,21,IQAir,divmym
IQAdiv22,IQAir Mymensingh 22,22,IQAir,divmym
IQAdiv23,IQAir Mymensingh 23,23,IQAir,divmym
IQAdiv4,IQAir Mymensingh 4,4,IQAir,divmym
IQAdiv5,IQAir Mymensingh 5,5,IQAir,divmym
IQAdiv6,IQAir Mymensingh 6,6,IQAir,divmym
IQAdiv7,IQAir Mymensingh 7,7,IQAir,divmym
IQAdiv8,IQAir Mymensingh 8,8,IQAir,divmym
IQAdiv1,IQAir Mymensingh 1,1,IQAir,divmym
IQAdiv2,IQAir Mymensingh 2,2,IQAir,divmym
IQAdiv3,IQAir Mymensingh 3,3,IQAir,divmym
IQAdiv9,IQAir Mymensingh 9,9,IQAir,divmym
IQAdiv1,IQAir Rajshahi 1,1,IQAir,divraj
IQAdiv10,IQAir Rajshahi 10,10,IQAir,divraj
IQAdiv11,IQAir Rajshahi 11,11,IQAir,divraj
IQAdiv12,IQAir Rajshahi 12,12,IQAir,divraj
IQAdiv13,IQAir Rajshahi 13,13,IQAir,divraj
IQAdiv15,IQAir Rajshahi 15,15,IQAir,divraj
IQAdiv16,IQAir Rajshahi 16,16,IQAir,divraj
Purdiv18,PurpleAir Rajshahi 18,18,PurpleAir,divraj
Purdiv19,PurpleAir Rajshahi 19,19,PurpleAir,divraj
Purdiv2,PurpleAir Rajshahi 2,2,PurpleAir,divraj
Purdiv20,PurpleAir Rajshahi 20,20,PurpleAir,divraj
Purdiv21,PurpleAir Rajshahi 21,21,PurpleAir,divraj
Purdiv22,PurpleAir Rajshahi 22,22,PurpleAir,divraj
Purdiv23,PurpleAir Rajshahi 23,23,PurpleAir,divraj
Purdiv5,PurpleAir Rajshahi 5,5,PurpleAir,divraj
Purdiv6,PurpleAir Rajshahi 6,6,PurpleAir,divraj
Purdiv7,PurpleAir Rajshahi 7,7,PurpleAir,divraj
Purdiv8,PurpleAir Rajshahi 8,8,PurpleAir,divraj
Purdiv1,PurpleAir Rajshahi 1,1,PurpleAir,divraj
Purdiv11,PurpleAir Rajshahi 11,11,PurpleAir,divraj
Purdiv12,PurpleAir Rajshahi 12,12,PurpleAir,divraj
Purdiv15,PurpleAir Rajshahi 15,15,PurpleAir,divraj
Purdiv16,PurpleAir Rajshahi 16,16,PurpleAir,divraj
Purdiv17,PurpleAir Rajshahi 17,17,PurpleAir,divraj
Purdiv3,PurpleAir Rajshahi 3,3,PurpleAir,divraj
Purdiv4,PurpleAir Rajshahi 4,4,PurpleAir,divraj
Purdiv9,PurpleAir Rajshahi 9,9,PurpleAir,divraj
Purdiv10,PurpleAir Rajshahi 10,10,PurpleAir,divraj
Purdiv13,PurpleAir Rajshahi 13,13,PurpleAir,divraj
Purdiv14,PurpleAir Rajshahi 14,14,PurpleAir,divraj
Purdiv1,PurpleAir Rangpur 1,1,PurpleAir,divran
Purdiv10,PurpleAir Rangpur 10,10,PurpleAir,divran
Purdiv11,PurpleAir Rangpur 11,11,PurpleAir,divran
Purdiv12,PurpleAir Rangpur 12,12,PurpleAir,divran
Purdiv13,PurpleAir Rangpur 13,13,PurpleAir,divran
Purdiv14,PurpleAir Rangpur 14,14,PurpleAir,divran
Purdiv15,PurpleAir Rangpur 15,15,PurpleAir,divran
Purdiv17,PurpleAir Rangpur 17,17,PurpleAir,divran
Purdiv18,PurpleAir Rangpur 18,18,PurpleAir,divran
Purdiv19,PurpleAir Rangpur 19,19,PurpleAir,divran
Purdiv20,PurpleAir Rangpur 20,20,PurpleAir,divran
Purdiv21,PurpleAir Rangpur 21,21,PurpleAir,divran
Purdiv23,PurpleAir Rangpur 23,23,PurpleAir,divran
Purdiv3,PurpleAir Rangpur 3,3,PurpleAir,divran
Purdiv4,PurpleAir Rangpur 4,4,PurpleAir,divran
Purdiv5,PurpleAir Rangpur 5,5,PurpleAir,divran
Purdiv7,PurpleAir Rangpur 7,7,PurpleAir,divran
Purdiv16,PurpleAir Rangpur 16,16,PurpleAir,divran
Purdiv2,PurpleAir Rangpur 2,2,PurpleAir,divran
Purdiv8,PurpleAir Rangpur 8,8,PurpleAir,divran
Purdiv9,PurpleAir Rangpur 9,9,PurpleAir,divran
Purdiv22,PurpleAir Rangpur 22,22,PurpleAir,divran
Purdiv6,PurpleAir Rangpur 6,6,PurpleAir,divran
Purdiv1,PurpleAir Sylhet 1,1,PurpleAir,divsyl
Purdiv10,PurpleAir Sylhet 10,10,PurpleAir,divsyl
Purdiv11,PurpleAir Sylhet 11,11,PurpleAir,divsyl
Purdiv13,PurpleAir Sylhet 13,13,PurpleAir,divsyl
Purdiv14,PurpleAir Sylhet 14,14,PurpleAir,divsyl
Purdiv15,PurpleAir Sylhet 15,15,PurpleAir,divsyl
Purdiv16,PurpleAir Sylhet 16,16,PurpleAir,divsyl
Purdiv17,PurpleAir Sylhet 17,17,PurpleAir,divsyl
Purdiv18,PurpleAir Sylhet 18,18,PurpleAir,divsyl
Purdiv19,PurpleAir Sylhet 19,19,PurpleAir,divsyl
Purdiv2,PurpleAir Sylhet 2,2,PurpleAir,divsyl
Purdiv20,PurpleAir Sylhet 20,20,PurpleAir,divsyl
Purdiv21,PurpleAir Sylhet 21,21,PurpleAir,divsyl
Purdiv23,PurpleAir Sylhet 23,23,PurpleAir,divsyl
Purdiv3,PurpleAir Sylhet 3,3,PurpleAir,divsyl
Purdiv5,PurpleAir Sylhet 5,5,PurpleAir,divsyl
Purdiv7,PurpleAir Sylhet 7,7,PurpleAir,divsyl
Purdiv8,PurpleAir Sylhet 8,8,PurpleAir,divsyl
Purdiv12,PurpleAir Sylhet 12,12,PurpleAir,divsyl
Purdiv22,PurpleAir Sylhet 22,22,PurpleAir,divsyl
Purdiv4,PurpleAir Sylhet 4,4,PurpleAir,divsyl
Purdiv6,PurpleAir Sylhet 6,6,PurpleAir,divsyl
Purdiv9,PurpleAir Sylhet 9,9,PurpleAir,divsyl
